gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.27390024E-06,  0.93908809E-06,  0.57231778E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59142176E-03,  0.14785544E-02,  0.10999526E-02,  0.27498816E-02,  0.32081900E-03,  0.80204749E-03,  0.34770693E-01,  0.23137082E-02,  0.86926732E-01,  0.64631008E-01,  0.12245074E-01,  0.16157752E+00,  0.18862956E-01,  0.63189797E-04,  0.47157389E-01, -0.41874857E+05, -0.41874857E+05, -0.41874857E+05,  0.58891437E+07,  0.10952893E+08,  0.31945885E+07,  0.40450661E-14, -0.10000000E+01, -0.40450661E-14, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.82491330E+00,  0.00000000E+00,  0.00000000E+00,  0.20000000E+03,  0.20000000E+03,  0.20000000E+03,  0.68453216E-07,  0.14086722E-05,  0.57290215E-06,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.59290927E-03,  0.14822732E-02,  0.44012146E-02,  0.11003037E-01,  0.21387324E-03,  0.53468311E-03,  0.34851786E-01,  0.23204998E-02,  0.87129465E-01,  0.25843231E+00,  0.14543141E+00,  0.64608076E+00,  0.12532234E-01, -0.11029580E+00,  0.31330586E-01, -0.11663416E+06, -0.11663416E+06, -0.11663416E+06,  0.59039557E+07,  0.43825552E+08,  0.21296651E+07,  0.10616914E-05,  0.40450661E-14,  0.26246576E+09, -0.72307692E+00, -0.72307692E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.47501906E+01,  0.47501906E+01,  0.10300783E-01,  0.19767603E+03,  0.53817751E+03,  0.20172860E+03,  0.13402610E-06,  0.10886661E-05,  0.57404080E-06,  0.15778562E+01,  0.27225229E+01,  0.20805504E+01,  0.59066948E-03,  0.14766737E-02,  0.22479002E-02,  0.56197504E-02,  0.27673985E-03,  0.69184963E-03,  0.34719540E-01,  0.24766217E-02,  0.86798849E-01,  0.13183381E+00,  0.18506981E+00,  0.32958453E+00,  0.16256038E-01, -0.83612825E-01,  0.40640096E-01, -0.57131996E+05, -0.54407902E+05, -0.70214778E+06,  0.58816528E+07,  0.22383700E+08,  0.27556658E+07,  0.79992138E-06,  0.10616914E-05,  0.75344061E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.14617114E+01,  0.39600687E+00,  0.94767202E-02,  0.16666942E+03,  0.31972141E+03,  0.19982909E+03,  0.11279524E-06,  0.17440471E-05,  0.57346413E-06,  0.87042645E+00,  0.10217073E+01,  0.94030717E+00,  0.59257644E-03,  0.14814411E-02,  0.26710108E-02,  0.66775270E-02,  0.17274608E-03,  0.43186521E-03,  0.34833314E-01,  0.22076509E-02,  0.87083284E-01,  0.15472450E+00,  0.88869566E-01,  0.38681124E+00,  0.10127429E-01, -0.13479055E+00,  0.25318573E-01, -0.16609739E+06, -0.16085372E+06, -0.70623783E+06,  0.59006415E+07,  0.26596868E+08,  0.17201371E+07,  0.16247614E-06,  0.28067442E-06,  0.57887764E+00, -0.98750000E+00, -0.98750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.40228993E+01,  0.66117535E+00,  0.10506799E-01,  0.16666723E+03,  0.31581973E+03,  0.19963951E+03,  0.10811531E-06,  0.16080794E-05,  0.57263430E-06,  0.86095583E+00,  0.12207902E+01,  0.95424505E+00,  0.59287463E-03,  0.14821866E-02,  0.27866293E-02,  0.69665734E-02,  0.18735225E-03,  0.46838062E-03,  0.34850641E-01,  0.22707574E-02,  0.87126602E-01,  0.16344108E+00,  0.11948013E+00,  0.40860269E+00,  0.10986420E-01, -0.11121225E+00,  0.27466049E-01, -0.12040506E+06, -0.11658514E+06, -0.50220502E+06,  0.59036108E+07,  0.27748151E+08,  0.18655795E+07,  0.42424029E-06,  0.75095432E-06,  0.56493488E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.27500337E+01,  0.66671833E+00,  0.61804697E-02,  0.16667216E+03,  0.29602819E+03,  0.19954233E+03,  0.11035016E-06,  0.16356081E-05,  0.57260407E-06,  0.86798677E+00,  0.98248881E+00,  0.91334083E+00,  0.59317844E-03,  0.14829461E-02,  0.27301935E-02,  0.68254837E-02,  0.18419895E-03,  0.46049737E-03,  0.34868700E-01,  0.22459625E-02,  0.87171751E-01,  0.15988374E+00,  0.10076964E+00,  0.39970936E+00,  0.10809064E-01, -0.10041422E+00,  0.27022661E-01, -0.15860826E+06, -0.15353670E+06, -0.59969137E+06,  0.59066360E+07,  0.27186185E+08,  0.18341802E+07,  0.87158656E-07,  0.19538035E-06,  0.44609734E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.29966096E+01,  0.53963152E+00,  0.94767202E-02,  0.16674078E+03,  0.29653970E+03,  0.19950579E+03,  0.81787925E-07,  0.11949787E-05,  0.57070600E-06,  0.86331113E+00,  0.10432307E+01,  0.91961052E+00,  0.59482775E-03,  0.14870694E-02,  0.36836403E-02,  0.92091008E-02,  0.25211938E-03,  0.63029844E-03,  0.34963862E-01,  0.24561197E-02,  0.87409655E-01,  0.21273571E+00,  0.20360693E+00,  0.53183928E+00,  0.14781321E-01, -0.87673616E-01,  0.36953302E-01, -0.77978734E+05, -0.75539666E+05, -0.29580284E+06,  0.59230592E+07,  0.36680231E+08,  0.25105049E+07,  0.52582623E-06,  0.47398394E-06,  0.11093756E+01, -0.86666667E+00, -0.86666667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.44444544E+01,  0.53628855E+00,  0.96827359E-02,  0.16666705E+03,  0.57797288E+03,  0.20279926E+03,  0.20239338E-07,  0.91150083E-06,  0.56901086E-06,  0.85001802E+00,  0.10982949E+01,  0.92255677E+00,  0.67462669E-03,  0.16865667E-02,  0.14885729E-01,  0.37214322E-01,  0.33052882E-03,  0.82632206E-03,  0.36679012E-01,  0.23227661E-01,  0.91697531E-01,  0.64702276E+00,  0.43567574E+01,  0.16175569E+01,  0.86541802E-02, -0.10206651E+01,  0.21635451E-01, -0.44190305E+05, -0.39418512E+05, -0.63382798E+06,  0.67176654E+07,  0.14822619E+09,  0.32912751E+07,  0.22988470E-06,  0.52582623E-06,  0.43718759E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.83689645E+00,  0.56102361E+00,  0.96827359E-02,  0.16666748E+03,  0.47616879E+03,  0.20204476E+03,  0.96916080E-07,  0.10574429E-05,  0.57214537E-06,  0.84381911E+00,  0.99537045E+00,  0.90752206E+00,  0.59859047E-03,  0.14964762E-02,  0.31086410E-02,  0.77716024E-02,  0.28491118E-03,  0.71227796E-03,  0.35175894E-01,  0.31251018E-02,  0.87939736E-01,  0.17596769E+00,  0.24732851E+00,  0.43991924E+00,  0.16714316E-01, -0.36254486E-01,  0.41785790E-01, -0.47276664E+05, -0.43028542E+05, -0.40283896E+06,  0.59605269E+07,  0.30954615E+08,  0.28370327E+07,  0.13460273E-06,  0.22988470E-06,  0.58552277E+00, -0.90909091E+00, -0.90909091E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.20737329E+01,  0.44308767E+00,  0.53564071E-02,  0.16666708E+03,  0.55017547E+03,  0.20197970E+03,  0.89905633E-07,  0.94213425E-06,  0.57079577E-06,  0.87781687E+00,  0.97199600E+00,  0.92210376E+00,  0.60230861E-03,  0.15057715E-02,  0.33510392E-02,  0.83775979E-02,  0.31978170E-03,  0.79945426E-03,  0.35387327E-01,  0.34090174E-02,  0.88468317E-01,  0.18837779E+00,  0.28892064E+00,  0.47094447E+00,  0.18800013E-01, -0.34841102E-01,  0.47000032E-01, -0.46632259E+05, -0.42082465E+05, -0.57953210E+06,  0.59975506E+07,  0.33368321E+08,  0.31842596E+07,  0.42418460E-07,  0.61845552E-07,  0.68587729E+00, -0.33875000E+00, -0.33875000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15863393E+01,  0.49448662E+00,  0.53564071E-02,  0.16666921E+03,  0.54331390E+03,  0.20180652E+03,  0.10098419E-06,  0.93075355E-06,  0.57080026E-06,  0.87939853E+00,  0.97659275E+00,  0.92444050E+00,  0.60131891E-03,  0.15032973E-02,  0.29834107E-02,  0.74585267E-02,  0.32369181E-03,  0.80922952E-03,  0.35332724E-01,  0.33079502E-02,  0.88331809E-01,  0.16982239E+00,  0.24871681E+00,  0.42455599E+00,  0.19030112E-01, -0.25328412E-01,  0.47575280E-01, -0.46482592E+05, -0.42129570E+05, -0.55895024E+06,  0.59876956E+07,  0.29707622E+08,  0.32231948E+07,  0.97769389E-08,  0.20070907E-07,  0.48711994E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15807059E+01,  0.45070453E+00,  0.53564071E-02,  0.16667032E+03,  0.54283649E+03,  0.20179595E+03,  0.11971557E-06,  0.11408467E-05,  0.57258480E-06,  0.88011154E+00,  0.97766529E+00,  0.92601933E+00,  0.59283681E-03,  0.14820920E-02,  0.25166092E-02,  0.62915231E-02,  0.26408220E-03,  0.66020551E-03,  0.34843779E-01,  0.27143615E-02,  0.87109448E-01,  0.14241255E+00,  0.20848941E+00,  0.35603137E+00,  0.15502753E-01, -0.35165270E-01,  0.38756882E-01, -0.47232983E+05, -0.42822282E+05, -0.56667651E+06,  0.59032342E+07,  0.25059398E+08,  0.26296260E+07,  0.43198973E-06,  0.97769389E-08,  0.44184559E+02, -0.70000000E+00, -0.70000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.21990559E+01,  0.43975542E+00,  0.88586733E-02,  0.16666781E+03,  0.58468326E+03,  0.20390855E+03,  0.12360658E-06,  0.12357718E-05,  0.57607046E-06,  0.85912046E+00,  0.10363204E+01,  0.92969520E+00,  0.58959963E-03,  0.14739991E-02,  0.24373887E-02,  0.60934718E-02,  0.24379687E-03,  0.60949218E-03,  0.34651525E-01,  0.28633159E-02,  0.86628812E-01,  0.13684920E+00,  0.21286602E+00,  0.34212299E+00,  0.14315179E-01, -0.31878360E-01,  0.35787946E-01, -0.48042855E+05, -0.41333461E+05, -0.69066248E+06,  0.58709996E+07,  0.24270552E+08,  0.24276327E+07,  0.16749711E-06,  0.43198973E-06,  0.38773402E+00, -0.70000000E+00, -0.70000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18255317E+01,  0.61289007E+00,  0.94767202E-02,  0.16666784E+03,  0.57466973E+03,  0.20414814E+03,  0.12725401E-06,  0.12687335E-05,  0.57641147E-06,  0.85249451E+00,  0.10414340E+01,  0.92074609E+00,  0.58915434E-03,  0.14728858E-02,  0.23675269E-02,  0.59188172E-02,  0.23746303E-03,  0.59365757E-03,  0.34625975E-01,  0.28513867E-02,  0.86564938E-01,  0.13342812E+00,  0.20305850E+00,  0.33357031E+00,  0.13943060E-01, -0.27844422E-01,  0.34857650E-01, -0.48417153E+05, -0.41232472E+05, -0.65067008E+06,  0.58665656E+07,  0.23574895E+08,  0.23645628E+07,  0.98432145E-07,  0.16749711E-06,  0.58766473E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18202473E+01,  0.40552332E+00,  0.45323445E-02,  0.16668368E+03,  0.57051465E+03,  0.20399643E+03,  0.12666494E-06,  0.12689680E-05,  0.57586219E-06,  0.87708508E+00,  0.98043388E+00,  0.91833021E+00,  0.58943067E-03,  0.14735767E-02,  0.23785373E-02,  0.59463433E-02,  0.23741914E-03,  0.59354784E-03,  0.34642436E-01,  0.28245727E-02,  0.86606090E-01,  0.13402224E+00,  0.20060918E+00,  0.33505559E+00,  0.13940886E-01, -0.26966688E-01,  0.34852214E-01, -0.50145435E+05, -0.42639416E+05, -0.65726762E+06,  0.58693171E+07,  0.23684533E+08,  0.23641257E+07,  0.16297122E-07,  0.42092853E-07,  0.38717075E+00, -0.67500000E+00, -0.67500000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18181800E+01,  0.45277807E+00,  0.35022662E-02,  0.16667613E+03,  0.57030906E+03,  0.20397331E+03,  0.12677726E-06,  0.12747991E-05,  0.57580534E-06,  0.87723569E+00,  0.98540126E+00,  0.92953200E+00,  0.58949189E-03,  0.14737297E-02,  0.23764301E-02,  0.59410753E-02,  0.23633316E-03,  0.59083290E-03,  0.34646012E-01,  0.28269316E-02,  0.86615030E-01,  0.13394135E+00,  0.20108239E+00,  0.33485338E+00,  0.13877085E-01, -0.27484913E-01,  0.34692713E-01, -0.50033134E+05, -0.42535520E+05, -0.65490793E+06,  0.58699268E+07,  0.23663550E+08,  0.23533120E+07,  0.95166555E-08,  0.16297122E-07,  0.58394702E+00, -0.29333333E+00, -0.29333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18150078E+01,  0.45293810E+00,  0.30902349E-02,  0.16667497E+03,  0.57033086E+03,  0.20396976E+03,  0.12674774E-06,  0.12738466E-05,  0.57578530E-06,  0.87788077E+00,  0.98588016E+00,  0.92872942E+00,  0.58950368E-03,  0.14737592E-02,  0.23769836E-02,  0.59424590E-02,  0.23650987E-03,  0.59127469E-03,  0.34646709E-01,  0.28266331E-02,  0.86616773E-01,  0.13396712E+00,  0.20100787E+00,  0.33491780E+00,  0.13887531E-01, -0.27383511E-01,  0.34718828E-01, -0.50161965E+05, -0.42643712E+05, -0.65665428E+06,  0.58700442E+07,  0.23669061E+08,  0.23550717E+07,  0.45716350E-08,  0.95166555E-08,  0.48038252E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18153903E+01,  0.40642805E+00,  0.30902349E-02,  0.16667428E+03,  0.57034482E+03,  0.20396438E+03,  0.12984549E-06,  0.11925361E-05,  0.57521369E-06,  0.87874999E+00,  0.98631727E+00,  0.93032785E+00,  0.59040492E-03,  0.14760123E-02,  0.23202754E-02,  0.58006884E-02,  0.25263579E-03,  0.63158948E-03,  0.34698838E-01,  0.28689975E-02,  0.86747096E-01,  0.13098176E+00,  0.21056689E+00,  0.32745439E+00,  0.14834710E-01, -0.22621983E-01,  0.37086775E-01, -0.48719503E+05, -0.41415646E+05, -0.63779387E+06,  0.58790184E+07,  0.23104383E+08,  0.25156471E+07,  0.40852712E-06,  0.45716350E-08,  0.89361273E+02, -0.70000000E+00, -0.70000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.18999242E+01,  0.59625238E+00,  0.76225793E-02,  0.16673640E+03,  0.59606047E+03,  0.20602023E+03,  0.13488673E-06,  0.10966929E-05,  0.57696259E-06,  0.85987135E+00,  0.10039488E+01,  0.89958381E+00,  0.59136351E-03,  0.14784088E-02,  0.22335578E-02,  0.55838945E-02,  0.27471436E-03,  0.68678590E-03,  0.34747469E-01,  0.32938185E-02,  0.86868673E-01,  0.12542787E+00,  0.25133831E+00,  0.31356966E+00,  0.16137653E-01, -0.10304147E-01,  0.40344131E-01, -0.49156385E+05, -0.39714044E+05, -0.70900320E+06,  0.58885636E+07,  0.22240884E+08,  0.27354968E+07,  0.17668868E-06,  0.40852712E-06,  0.43250171E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16533698E+01,  0.56723126E+00,  0.88586733E-02,  0.16666996E+03,  0.60227370E+03,  0.20633175E+03,  0.13920173E-06,  0.11926511E-05,  0.57778581E-06,  0.85486463E+00,  0.99904658E+00,  0.90623546E+00,  0.58933731E-03,  0.14733433E-02,  0.21643215E-02,  0.54108036E-02,  0.25261143E-03,  0.63152856E-03,  0.34631302E-01,  0.31676141E-02,  0.86578254E-01,  0.12160810E+00,  0.23020590E+00,  0.30402025E+00,  0.14831905E-01, -0.80100813E-02,  0.37079761E-01, -0.50600493E+05, -0.40314773E+05, -0.74663467E+06,  0.58683875E+07,  0.21551456E+08,  0.25154045E+07,  0.10122615E-06,  0.17668868E-06,  0.57290683E+00, -0.98750000E+00, -0.98750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16607060E+01,  0.47734312E+00,  0.37082818E-02,  0.16666836E+03,  0.60360526E+03,  0.20635559E+03,  0.13876432E-06,  0.11760121E-05,  0.57703279E-06,  0.88176079E+00,  0.96567991E+00,  0.92870257E+00,  0.59022137E-03,  0.14755534E-02,  0.21711438E-02,  0.54278595E-02,  0.25618555E-03,  0.64046387E-03,  0.34682246E-01,  0.32117642E-02,  0.86705615E-01,  0.12172754E+00,  0.22694608E+00,  0.30431885E+00,  0.15042659E-01, -0.50640603E-02,  0.37606647E-01, -0.52030796E+05, -0.41187637E+05, -0.76886529E+06,  0.58771906E+07,  0.21619390E+08,  0.25509942E+07,  0.23146211E-07,  0.45732436E-07,  0.50612242E+00, -0.29333333E+00, -0.29333333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16170547E+01,  0.52097300E+00,  0.37082818E-02,  0.16666671E+03,  0.60382565E+03,  0.20634584E+03,  0.13919376E-06,  0.11855441E-05,  0.57715933E-06,  0.88239414E+00,  0.96720494E+00,  0.93011977E+00,  0.58993434E-03,  0.14748359E-02,  0.21644454E-02,  0.54111135E-02,  0.25412576E-03,  0.63531441E-03,  0.34665666E-01,  0.31915731E-02,  0.86664165E-01,  0.12146122E+00,  0.23083690E+00,  0.30365304E+00,  0.14920491E-01, -0.63299561E-02,  0.37301228E-01, -0.52042134E+05, -0.41187023E+05, -0.76986374E+06,  0.58743325E+07,  0.21552690E+08,  0.25304837E+07,  0.14791729E-07,  0.23146211E-07,  0.63905616E+00, -0.60000000E+00, -0.60000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16265966E+01,  0.44614685E+00,  0.32962505E-02,  0.16666667E+03,  0.60432241E+03,  0.20633842E+03,  0.13762352E-06,  0.12517596E-05,  0.57798127E-06,  0.88435218E+00,  0.96980656E+00,  0.92967432E+00,  0.58799762E-03,  0.14699941E-02,  0.21891410E-02,  0.54728525E-02,  0.24068304E-03,  0.60170761E-03,  0.34554572E-01,  0.30355630E-02,  0.86386431E-01,  0.12273661E+00,  0.21970070E+00,  0.30684153E+00,  0.14133355E-01, -0.10357979E-01,  0.35333388E-01, -0.50532154E+05, -0.39967621E+05, -0.74928591E+06,  0.58550474E+07,  0.21798599E+08,  0.23966264E+07,  0.40116575E-06,  0.11206551E-07,  0.35797433E+02, -0.70000000E+00, -0.70000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.17082720E+01,  0.51974975E+00,  0.86526576E-02,  0.16666771E+03,  0.63202422E+03,  0.20838118E+03,  0.13822480E-06,  0.13019406E-05,  0.58098933E-06,  0.86093958E+00,  0.10110458E+01,  0.92258334E+00,  0.58596470E-03,  0.14649118E-02,  0.21796183E-02,  0.54490458E-02,  0.23140633E-03,  0.57851583E-03,  0.34432510E-01,  0.32220557E-02,  0.86081276E-01,  0.12136020E+00,  0.23563435E+00,  0.30340050E+00,  0.13589684E-01, -0.16524809E-02,  0.33974210E-01, -0.52932069E+05, -0.39847500E+05, -0.88514371E+06,  0.58348044E+07,  0.21703776E+08,  0.23042526E+07,  0.17443172E-06,  0.40116575E-06,  0.43481209E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15901335E+01,  0.52036864E+00,  0.78285950E-02,  0.16667125E+03,  0.64167382E+03,  0.20870444E+03,  0.13909984E-06,  0.13095195E-05,  0.58125731E-06,  0.85799904E+00,  0.10166289E+01,  0.90352214E+00,  0.58555546E-03,  0.14638886E-02,  0.21659068E-02,  0.54147671E-02,  0.23006705E-03,  0.57516764E-03,  0.34408021E-01,  0.32174823E-02,  0.86020051E-01,  0.12044109E+00,  0.24615959E+00,  0.30110273E+00,  0.13508996E-01,  0.65635025E-04,  0.33772491E-01, -0.53579593E+05, -0.39772333E+05, -0.93938028E+06,  0.58307293E+07,  0.21567243E+08,  0.22909166E+07,  0.98503805E-07,  0.17443172E-06,  0.56471270E+00, -0.98750000E+00, -0.98750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15431518E+01,  0.51727026E+00,  0.65925010E-02,  0.16670934E+03,  0.64415834E+03,  0.20874138E+03,  0.13979724E-06,  0.13110331E-05,  0.58052574E-06,  0.87850748E+00,  0.96366288E+00,  0.91555133E+00,  0.58598451E-03,  0.14649613E-02,  0.21551019E-02,  0.53877549E-02,  0.22980144E-03,  0.57450359E-03,  0.34433050E-01,  0.32194792E-02,  0.86082624E-01,  0.11977088E+00,  0.24390988E+00,  0.29942721E+00,  0.13492884E-01,  0.65311363E-04,  0.33732211E-01, -0.53960972E+05, -0.39763160E+05, -0.95431512E+06,  0.58350017E+07,  0.21459652E+08,  0.22882717E+07,  0.29959204E-07,  0.63736845E-07,  0.47004529E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15366470E+01,  0.44793017E+00,  0.32962505E-02,  0.16666670E+03,  0.64462264E+03,  0.20872964E+03,  0.14011403E-06,  0.12978509E-05,  0.58086939E-06,  0.88755609E+00,  0.95926040E+00,  0.91887608E+00,  0.58557971E-03,  0.14639493E-02,  0.21502293E-02,  0.53755733E-02,  0.23213552E-03,  0.58033881E-03,  0.34409278E-01,  0.31968686E-02,  0.86023195E-01,  0.11970226E+00,  0.23979653E+00,  0.29925566E+00,  0.13631099E-01, -0.18729952E-02,  0.34077747E-01, -0.53335728E+05, -0.39301340E+05, -0.94606580E+06,  0.58309708E+07,  0.21411132E+08,  0.23115136E+07,  0.39834826E-06,  0.29959204E-07,  0.13296356E+02, -0.61250000E+00, -0.61250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.16010758E+01,  0.58634294E+00,  0.84466419E-02,  0.16666881E+03,  0.66505387E+03,  0.21045696E+03,  0.13949169E-06,  0.13010833E-05,  0.58331726E-06,  0.85870069E+00,  0.10032878E+01,  0.91867408E+00,  0.58440782E-03,  0.14610195E-02,  0.21598226E-02,  0.53995564E-02,  0.23155882E-03,  0.57889704E-03,  0.34336487E-01,  0.33974961E-02,  0.85841217E-01,  0.11977001E+00,  0.26714356E+00,  0.29942502E+00,  0.13600145E-01,  0.66345872E-04,  0.34000363E-01, -0.55703994E+05, -0.39400009E+05, -0.10857254E+07,  0.58193016E+07,  0.21506658E+08,  0.23057710E+07,  0.17174492E-06,  0.39834826E-06,  0.43114265E+00, -0.58750000E+00, -0.58750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15893201E+01,  0.72026991E+00,  0.84466419E-02,  0.16666920E+03,  0.67431608E+03,  0.21101663E+03,  0.14046071E-06,  0.13047465E-05,  0.58383995E-06,  0.85619629E+00,  0.97778994E+00,  0.89743319E+00,  0.58399490E-03,  0.14599873E-02,  0.21449222E-02,  0.53623054E-02,  0.23090869E-03,  0.57727173E-03,  0.34311231E-01,  0.34480263E-02,  0.85778078E-01,  0.11854536E+00,  0.27663526E+00,  0.29636339E+00,  0.13560131E-01,  0.66541558E-04,  0.33900327E-01, -0.56042633E+05, -0.38883061E+05, -0.11416721E+07,  0.58151900E+07,  0.21358285E+08,  0.22992973E+07,  0.92077269E-07,  0.17174492E-06,  0.53612804E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15688708E+01,  0.49720750E+00,  0.59744541E-02,  0.16666737E+03,  0.67728603E+03,  0.21111495E+03,  0.14029864E-06,  0.13118501E-05,  0.58358239E-06,  0.87327659E+00,  0.98757078E+00,  0.92235694E+00,  0.58417729E-03,  0.14604432E-02,  0.21473999E-02,  0.53684998E-02,  0.22965832E-03,  0.57414581E-03,  0.34321795E-01,  0.34617436E-02,  0.85804487E-01,  0.11857655E+00,  0.26879633E+00,  0.29644137E+00,  0.13486009E-01,  0.66584487E-04,  0.33715023E-01, -0.56349593E+05, -0.38814906E+05, -0.11634546E+07,  0.58170061E+07,  0.21382958E+08,  0.22868466E+07,  0.35806350E-07,  0.50793073E-07,  0.70494553E+00, -0.56250000E+00, -0.56250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15639122E+01,  0.42668382E+00,  0.41203131E-02,  0.16666700E+03,  0.67822219E+03,  0.21111567E+03,  0.14016600E-06,  0.13112853E-05,  0.58338979E-06,  0.88417905E+00,  0.97868941E+00,  0.92313733E+00,  0.58431819E-03,  0.14607955E-02,  0.21494320E-02,  0.53735800E-02,  0.22975725E-03,  0.57439312E-03,  0.34329917E-01,  0.34640283E-02,  0.85824792E-01,  0.11861123E+00,  0.27094887E+00,  0.29652806E+00,  0.13491287E-01,  0.66472361E-04,  0.33728217E-01, -0.56403868E+05, -0.38756855E+05, -0.11693398E+07,  0.58184092E+07,  0.21403193E+08,  0.22878317E+07,  0.10681397E-07,  0.20266185E-07,  0.52705511E+00, -0.41000000E+00, -0.41000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.15811388E+01,  0.15590827E+01,  0.39490428E+00,  0.41203131E-02,  0.16666673E+03,  0.67833912E+03,  0.21111111E+03,  0.14047044E-06,  0.13379594E-05,  0.58382334E-06,  0.88744432E+00,  0.97879679E+00,  0.92537147E+00,  0.58323010E-03,  0.14580753E-02,  0.21447737E-02,  0.53619343E-02,  0.22517671E-03,  0.56294178E-03,  0.34267690E-01,  0.33633057E-02,  0.85669225E-01,  0.11844337E+00,  0.26413783E+00,  0.29610843E+00,  0.13222108E-01,  0.66108117E-04,  0.33055271E-01, -0.56570062E+05, -0.38860871E+05, -0.11734377E+07,  0.58075744E+07,  0.21356807E+08,  0.22422205E+07,  0.39700743E-06,  0.10681397E-07,  0.37168120E+02, -0.70000000E+00, -0.70000000E+00,
